歌曲名,表演者,榜单名
A,GOT7,百度音乐:新歌TOP100
Go,Super Junior-M,百度音乐:新歌TOP100
XO,Beyonce,百度音乐:新歌TOP100
go,黄立行,百度音乐:新歌TOP100
if,魏如萱,百度音乐:新歌TOP100
ICU,张根硕,百度音乐:新歌TOP100
O.K,B1A4,百度音乐:新歌TOP100
One,Ed Sheeran,百度音乐:新歌TOP100
Run,EXO-K,百度音乐:新歌TOP100
Run,武家祥,百度音乐:新歌TOP100
now,super junior,百度音乐:新歌TOP100
spy,super junior,百度音乐:新歌TOP100
uuu,潘玮柏,百度音乐:新歌TOP100
乱,香香,百度音乐:新歌TOP100
云,明白人组合,百度音乐:新歌TOP100
井,张敬轩,百度音乐:新歌TOP100
亮,小沈阳,百度音乐:新歌TOP100
伤,张玮,百度音乐:新歌TOP100
伤,李代沫,百度音乐:新歌TOP100
伤,项亚蕻,百度音乐:新歌TOP100
伤,"项亚蕻,羽泉",百度音乐:新歌TOP100
你,萧敬腾,百度音乐:新歌TOP100
信,周子琰,百度音乐:新歌TOP100
光,魏晨,百度音乐:新歌TOP100
卖,黄征,百度音乐:新歌TOP100
听,张杰,百度音乐:新歌TOP100
她,朱婧,百度音乐:新歌TOP100
她,王思远,百度音乐:新歌TOP100
她,王馨悦,百度音乐:新歌TOP100
她,马上又,百度音乐:新歌TOP100
她,"马上又,杨坤",百度音乐:新歌TOP100
她,"王思远,周华健",百度音乐:新歌TOP100
完,陈奕迅,百度音乐:新歌TOP100
家,陈绮贞,百度音乐:新歌TOP100
当,动力火车,百度音乐:新歌TOP100
忠,房祖名,百度音乐:新歌TOP100
悟,刘德华,百度音乐:新歌TOP100
愿,王菲,百度音乐:新歌TOP100
我,多亮,百度音乐:新歌TOP100
我,尚雯婕,百度音乐:新歌TOP100
我,彭佳慧,百度音乐:新歌TOP100
找,张婧,百度音乐:新歌TOP100
搜,陈翔,百度音乐:新歌TOP100
星,刘惜君,百度音乐:新歌TOP100
晴,汪苏泷,百度音乐:新歌TOP100
暖,"伦永亮,林忆莲",百度音乐:新歌TOP100
望,李炜,百度音乐:新歌TOP100
梦,任家萱,百度音乐:新歌TOP100
梦,周笔畅,百度音乐:新歌TOP100
梦,尚雯婕,百度音乐:新歌TOP100
渴,孙燕姿,百度音乐:新歌TOP100
火,林采欣,百度音乐:新歌TOP100
烧,吉杰,百度音乐:新歌TOP100
爱,羽泉,百度音乐:新歌TOP100
爱,王铮亮,百度音乐:新歌TOP100
爱,"胡海泉,陈羽凡,苏有朋",百度音乐:新歌TOP100
狼,许艺娜,百度音乐:新歌TOP100
狼,"侯磊,齐秦",百度音乐:新歌TOP100
狼,"齐秦,韩红",百度音乐:新歌TOP100
狼,"胡海泉,徐林",百度音乐:新歌TOP100
猎,周笔畅,百度音乐:新歌TOP100
画,赵雷,百度音乐:新歌TOP100
痒,吴莫愁,百度音乐:新歌TOP100
痴,王安迪,百度音乐:新歌TOP100
瘾,陈楚生,百度音乐:新歌TOP100
红,周华健,百度音乐:新歌TOP100
缺,黄雅莉,百度音乐:新歌TOP100
罪,佛跳墙,百度音乐:新歌TOP100
