歌曲id,歌曲名,歌手名,,,,,,,
120125029 ,小苹果,筷子兄弟,,,,,,,
14945107 ,泡沫,G.E.M.邓紫棋,,,,,,,
89308173 ,爸爸去哪儿,"林志颖,Kimi,张亮,张悦轩,郭涛,郭子睿,王岳伦,王诗龄",,,,,,,
14385500 ,时间都去哪儿了,王铮亮,,,,,,,
108479485 ,卷珠帘,霍尊,,,,,,,
99751993 ,我们好像在哪见过,"小柯,叶蓓",,,,,,,
35210419 ,坑爹,高维那,,,,,,,
1262598 ,千千阙歌,陈慧娴,,,,,,,
107062220 ,自由自在,凤凰传奇,,,,,,,
623748 ,红豆,王菲,,,,,,,
7338336 ,光辉岁月,Beyond,,,,,,,
964297 ,朋友别哭,吕方,,,,,,,
13139680 ,我可以抱你吗,张惠妹,,,,,,,
84761288 ,张灯结彩,皆大欢喜,,,,,,,
121523276 ,平凡之路,朴树,,,,,,,
44265317 ,寂寞,谢容儿,,,,,,,
97440993 ,小伙伴们都惊呆了,王麟,,,,,,,
119349330 ,金玉良缘,李琦,,,,,,,
31336224 ,等你等了那么久,"祁隆,乐凡",,,,,,,
110175440 ,爱你1314,正月十五,,,,,,,
100900023 ,生来彷徨,汪峰,,,,,,,
114750355 ,做你心上的人,NULL,,,,,,,
105326963 ,愿得一人心(剧场版),"李行亮,雨宗林",,,,,,,
88544851 ,终于等到你,张靓颖,,,,,,,
7300733 ,大海,张雨生,,,,,,,
87600807 ,男人歌,"小沈阳,高进",,,,,,,
105326963 ,愿得一人心,"李行亮,雨宗林",,,,,,,
10554229 ,存在,汪峰,,,,,,,
86772502 ,夜空中最亮的星(Remix版),逃跑计划乐队,,,,,,,
33976800 ,开门大吉,凤凰传奇,,,,,,,
46267082 ,时间煮雨,郁可唯,,,,,,,
64563148 ,趁早,李琦,,,,,,,
7333126 ,我只在乎你,邓丽君,,,,,,,
13125209 ,倩女幽魂,张国荣,,,,,,,
113333032 ,倍儿爽,大张伟,,,,,,,
246301 ,最炫民族风,凤凰传奇,,,,,,,
10233440 ,月亮惹的祸,张宇,,,,,,,
121367437 ,后会无期,G.E.M.邓紫棋,,,,,,,
37412038 ,我让你飞,高维那,,,,,,,
87603531 ,怎么说我不爱你,李琦,,,,,,,
64546611 ,勇敢勇敢,黄勇,,,,,,,
13869172 ,兄弟抱一下,庞龙,,,,,,,
536010 ,荷塘月色,凤凰传奇,,,,,,,
87603275 ,夜空中最亮的星,张恒远,,,,,,,
14900464 ,好男人都死哪儿去了,崔子格,,,,,,,
233257 ,把悲伤留给自己,陈升,,,,,,,
33984572 ,稳稳的幸福,陈奕迅,,,,,,,
34240081 ,又见山里红,祁隆,,,,,,,
121295447 ,想唱就唱,TFBOYS,,,,,,,
244200 ,红日,李克勤,,,,,,,
121889450 ,青春修炼手册,TFBOYS,,,,,,,
110076181 ,答案,"杨坤,郭采洁",,,,,,,
89560354 ,房间,刘瑞琦,,,,,,,
7277793 ,单身情歌,林志炫,,,,,,,
265898 ,吻别,张学友,,,,,,,
7313936 ,因为爱情,"王菲,陈奕迅",,,,,,,
5963089 ,我从草原来,凤凰传奇,,,,,,,
23305140 ,中国味道,凤凰传奇,,,,,,,
14944589 ,逆战,张杰,,,,,,,
13132725 ,父亲,筷子兄弟,,,,,,,
30855742 ,一万个舍不得,庄心妍,,,,,,,
122674119 ,喜欢你,G.E.M.邓紫棋,,,,,,,
1057968 ,一场游戏一场梦,王杰,,,,,,,
1102942 ,十年,陈奕迅,,,,,,,
92279724 ,Let It Go,Demi Lovato,,,,,,,
40153340 ,致青春,王菲,,,,,,,
116645769 ,寂寞的人伤心的歌,"龙梅子,杨海彪",,,,,,,
1075592 ,至少还有你,林忆莲,,,,,,,
237376 ,当我想你的时候,汪峰,,,,,,,
826361 ,女人花,梅艳芳,,,,,,,
86717873 ,我是不是你最疼爱的人,萱萱,,,,,,,
1575873 ,北京北京,汪峰,,,,,,,
121377633 ,山水之间,许嵩,,,,,,,
14950804 ,我的歌声里,曲婉婷,,,,,,,
87902124 ,一起摇摆(抢鲜版),汪峰,,,,,,,
1006104 ,男人哭吧不是罪,刘德华,,,,,,,
117948039 ,你给我听好,陈奕迅,,,,,,,
907397 ,追梦人,凤飞飞,,,,,,,
5830696 ,老男孩,筷子兄弟,,,,,,,
32996745 ,DJ万万岁,王绎龙,,,,,,,
113333032 ,倍儿爽 (官方正式版),大张伟,,,,,,,
121078799 ,爱情路,郑源,,,,,,,
233076 ,怒放的生命,汪峰,,,,,,,
120022293 ,多情的月光,正月十五,,,,,,,
10509017 ,我爱你胜过你爱我,"冷漠,杨小曼",,,,,,,
263324 ,心会跟爱一起走,"郭峰,陈洁仪",,,,,,,
87902124 ,一起摇摆,汪峰,,,,,,,
119383615 ,月光 (Moonlight),EXO-M,,,,,,,
120948904 ,爸爸去哪儿 第二季,"曹格,Joe,Grace,Feynman,杨阳洋,贝儿,黄多多,吴镇宇,陆毅,黄磊,杨威",,,,,,,
31074496 ,闹够了没有,赖伟锋,,,,,,,
35208394 ,羞答答的姑娘我爱你,李贵府,,,,,,,
790142 ,后来,刘若英,,,,,,,
16607693 ,错过了缘分错过你,"冷漠,何龙雨",,,,,,,
1328527 ,Angel,Sarah McLachlan,,,,,,,
65864677 ,男人好难,"沙宝亮,黄渤",,,,,,,
2067206 ,再回首,姜育恒,,,,,,,
877578 ,海阔天空,Beyond,,,,,,,
87600717 ,他不爱我,李琦,,,,,,,
109808297 ,虹之间,金贵晟,,,,,,,
57115532 ,我好想你,苏打绿,,,,,,,
1128053 ,冰雨,刘德华,,,,,,,
65720871 ,蓝莲花,"张恒远,赵晗",,,,,,,
114749881 ,盛开,玖月奇迹,,,,,,,
10518153 ,套马杆,乌兰图雅,,,,,,,
2121730 ,心雨,"杨钰莹,毛宁",,,,,,,
291241 ,甜蜜蜜,邓丽君,,,,,,,
110176454 ,把你宠坏,正月十五,,,,,,,
1487492 ,白天不懂夜的黑,那英,,,,,,,
121911466 ,惊鸿一面,"许嵩,黄龄",,,,,,,
12380958 ,老婆最大,崔子格,,,,,,,
121559722 ,时间煮雨,吴亦凡,,,,,,,
8513502 ,我们的歌谣,凤凰传奇,,,,,,,
13622134 ,预谋,许佳慧,,,,,,,
109753366 ,宝贝去哪儿,"王诗龄,李燃,Kimi,寇静,李湘,田雨橙,郭子睿,张悦轩,叶一茜,陈若仪",,,,,,,
14865165 ,卓玛,降央卓玛,,,,,,,
