我从来没去过纽约(电影《老男孩之猛龙过江》片尾曲&amp;#124;OT: Ich War Noch,筷子兄弟,,,,,,,,,,,,,,,
火(live版),秦晓林,,,,,,,,,,,,,,,
万花瞳(电影《小时代3：刺金时代》主题曲),蔡依林,,,,,,,,,,,,,,,
爱情回来了(电视剧《爱情回来了》片头曲),曹轩宾,,,,,,,,,,,,,,,
Autumn Leaves + 你怎么舍得我难过(live版),包函朵,,,,,,,,,,,,,,,
Beats Myself And I(remix版),顽童MJ116,,,,,,,,,,,,,,,
偏执面,张惠妹,,,,,,,,,,,,,,,
离骚(live版),于文华,,,,,,,,,,,,,,,
目送,林凡,,,,,,,,,,,,,,,
酒干倘卖无(电影《我是孝子》插曲),陈迪雅,,,,,,,,,,,,,,,
不懂自己(电视剧《如果我爱你》插曲),karey天天,,,,,,,,,,,,,,,
由我们主宰(2014巴西世界杯歌曲),五月天,,,,,,,,,,,,,,,
独上西楼 + I&#39;m With You(live版),杨腾飞,,,,,,,,,,,,,,,
最美的太阳 + 翅膀 (feat. 林俊杰)(live版),张杰,,,,,,,,,,,,,,,
爱的音符,祁隆,,,,,,,,,,,,,,,
After Leaving,舒涵,,,,,,,,,,,,,,,
We Will Rock You + 一无所有 + We Are The Champions(liv,G.E.M. 邓紫棋,,,,,,,,,,,,,,,
爱我请留言(电视剧《爱我请留言》主题曲),吴若希,,,,,,,,,,,,,,,
呼吸(Breath [Chinese Ver.]&amp;#124;??? [中文版]&amp;#1,金钟大,,,,,,,,,,,,,,,
走四方 + 向天再借五百年(live版),韩磊,,,,,,,,,,,,,,,
难忘今宵(live版),华语群星,,,,,,,,,,,,,,,
爱为她,王欢,,,,,,,,,,,,,,,
何日君再来(live版),莫旭秋,,,,,,,,,,,,,,,
借一双天使的翅膀,尚芸菲,,,,,,,,,,,,,,,
葬花(live版),区霭玲,,,,,,,,,,,,,,,
瑶妹传情,三多 ,,,,,,,,,,,,,,,
当爱已成往事 (feat. 辛晓琪 &amp; 许景淳 &amp; 赵咏华 &amp; 李度 &am,周华健,,,,,,,,,,,,,,,
爱上一个不回家的人 (feat. 常石磊)(live版),萨顶顶,,,,,,,,,,,,,,,
爱你胜过爱我自己 (feat. 阳阳),晟瑶,,,,,,,,,,,,,,,
隐形的翅膀 + 有形的翅膀(live版),张韶涵,,,,,,,,,,,,,,,
齐秦经典歌曲 (feat. 胡海泉)(live版),齐秦,,,,,,,,,,,,,,,
结尾串烧(第6场),快乐男声,,,,,,,,,,,,,,,
原来的我 (feat. 范玮琪)(live版),曾静玟,,,,,,,,,,,,,,,
我要大声告诉你(live版),李祥祥,,,,,,,,,,,,,,,
Boys Girls,Ezen,,,,,,,,,,,,,,,
伤心的人别听慢歌 (贯彻快乐)(2013《诺亚方舟3D》电影主题曲&amp;#124;2013可口可,五月天,,,,,,,,,,,,,,,
给我感觉 + 红日 + 人生嘉年华 + TYCA (feat. 麦子杰 &amp; 朱桦)(live,萨顶顶,,,,,,,,,,,,,,,
眼泪碰石头(电影《武林歌手》插曲),赵洁莹,,,,,,,,,,,,,,,
American Boy(live版),何大为,,,,,,,,,,,,,,,
点到为止(一起又看流星雨插曲),江映蓉,,,,,,,,,,,,,,,
爱是最美的事情(《台湾舞娘》主题曲),林凡,,,,,,,,,,,,,,,
电台情歌 + 水晶 + 爱情 + 如果爱 + 我愿意 (feat. 柯以敏 &amp; 郁可唯)(l,阿杜,,,,,,,,,,,,,,,
999朵玫瑰 + 我终于失去了你 + 用心良苦 (feat.郁可唯 &amp; 罗中旭),柯以敏,,,,,,,,,,,,,,,
金箍棒(live版),龚琳娜,,,,,,,,,,,,,,,
回到拉萨+春天里+怒放的生命 (feat. 柯以敏 &amp; 阿杜)(live版),郁可唯,,,,,,,,,,,,,,,
断了线+回家(live版),林志炫,,,,,,,,,,,,,,,
火焰情歌,红月,,,,,,,,,,,,,,,
我就要和你在一起(电影《人再囧途之泰囧》插曲),夏筠妍,,,,,,,,,,,,,,,
玫瑰花儿开,男人唐潮,,,,,,,,,,,,,,,
相亲相爱2013(电影《把乐带回家2013》),好声音群星,,,,,,,,,,,,,,,
江南style(?????，Gangnam Style),Psy,,,,,,,,,,,,,,,
酒干倘卖无,那英,,,,,,,,,,,,,,,
爱你百分百,覃飞宇,,,,,,,,,,,,,,,
玖月奇迹,玖月奇迹,,,,,,,,,,,,,,,
登上舞台( 电影《青春失乐  园》插曲),Smile Queen,,,,,,,,,,,,,,,
爱你不是为了和你去如家,新街口组合,,,,,,,,,,,,,,,
混在北京,刘坤山,,,,,,,,,,,,,,,
愛到天荒地老,罗时丰,,,,,,,,,,,,,,,
爱我也请爱我朋友,Babe First,,,,,,,,,,,,,,,
逆风的蔷薇,弦子,,,,,,,,,,,,,,,
爱你我错了吗,姚成骏,,,,,,,,,,,,,,,
BABY BLOG,少女部落格,,,,,,,,,,,,,,,
黑白之间,范逸臣,,,,,,,,,,,,,,,
如果没有他你还会爱我吗,六哲,,,,,,,,,,,,,,,
爱了很久痛了很久,杜鑫,,,,,,,,,,,,,,,
爱上你是错还是对,刘鑫悦,,,,,,,,,,,,,,,
是时候 + Hidden Track,孙燕姿,,,,,,,,,,,,,,,
十送红军(演唱会),袁东方,,,,,,,,,,,,,,,
爱上你是错还是对(演唱会),高洪章,,,,,,,,,,,,,,,
非诚勿扰只为爱,罗蔼轩,,,,,,,,,,,,,,,
给我翅膀(演唱会),高洪章,,,,,,,,,,,,,,,
那片天空的雨季(新版),葛本军,,,,,,,,,,,,,,,
配角Karaoke,SARA（韩国）,,,,,,,,,,,,,,,
十送红军,张妍,,,,,,,,,,,,,,,
男人的心更容易碎,逍遥,,,,,,,,,,,,,,,
爱你爱到骨头里,余润泽,,,,,,,,,,,,,,,
麦烝玮(我叫小麦),周杰伦,,,,,,,,,,,,,,,
至少还有爱,易秀明珠,,,,,,,,,,,,,,,
世界上唯一的花(世界に一つだけ),SMAP,,,,,,,,,,,,,,,
爱的冰淇淋,河静静,,,,,,,,,,,,,,,
唯爱(电视剧《画皮》主题曲),薛凯琪,,,,,,,,,,,,,,,
随时都在(I&#39;m ALways Here&amp;#124;偶像剧《喜欢?一个人》片尾曲),品冠,,,,,,,,,,,,,,,
一路发威 (feat. 陈思函)(电视剧《K歌情人梦》主题曲),张栋梁,,,,,,,,,,,,,,,
爱是最美的事情 (feat. 洪敬尧)(《台湾舞娘》主题曲),林凡,,,,,,,,,,,,,,,
If I&#39;m the one for you,张韶涵,,,,,,,,,,,,,,,
5:37,No Name（港台）,,,,,,,,,,,,,,,
You Don&#39;t Know,李唯枫,,,,,,,,,,,,,,,
Don&#39;t cry(电影《西门町》主题曲),安心亚,,,,,,,,,,,,,,,
We&#39;ll Never Know,韦礼安,,,,,,,,,,,,,,,
Let&#39;s Go,4ever,,,,,,,,,,,,,,,
不败(feat.俊昊(2PM)),吴建豪,,,,,,,,,,,,,,,
Valentine&#39;s Day,阿杜,,,,,,,,,,,,,,,
热血蓝天(100学年度HBL战歌),化学猴子,,,,,,,,,,,,,,,
从未忘记,叶文辉,,,,,,,,,,,,,,,
赛德克巴莱之看见彩虹,群星,,,,,,,,,,,,,,,
唉呀,吴建豪,,,,,,,,,,,,,,,
如果明天世界末日(中天综合台韩剧《暴风的恋人》片尾曲/中天娱乐台八点档《我的妈妈是爸爸》片头曲),MP魔幻力量,,,,,,,,,,,,,,,
痛了才懂,浪花兄弟,,,,,,,,,,,,,,,
爱喔爱,廖语晴,,,,,,,,,,,,,,,
瑰宝,浪花兄弟,,,,,,,,,,,,,,,
I&#39;m Your Dreamgirl,Dream Girls（台湾）,,,,,,,,,,,,,,,
两寸半舞曲,女孩与机器人,,,,,,,,,,,,,,,
Mocha Java,XOXO,,,,,,,,,,,,,,,
Mr.Sandman(造梦先生),陈冠希,,,,,,,,,,,,,,,
Mr.Sandman(remix版),陈冠希,,,,,,,,,,,,,,,
昨天的天堂,吴亦帆,,,,,,,,,,,,,,,
迪斯科,徐佳莹,,,,,,,,,,,,,,,
为你湿的泪(威尼斯的泪2010新声版),陈杰瑞,,,,,,,,,,,,,,,
I&#39;m Back,唐禹哲,,,,,,,,,,,,,,,
Jiggy（feat. F.Cuz),郭书瑶,,,,,,,,,,,,,,,
偏食,杨丞琳,,,,,,,,,,,,,,,
永远的福气,陈慧琳,,,,,,,,,,,,,,,
Come on! Come on! 绿色活力,Dance Flow,,,,,,,,,,,,,,,
Once,陈珊妮,,,,,,,,,,,,,,,
Mr．Why,刘子千,,,,,,,,,,,,,,,
现在我很幸褔,A-Lin,,,,,,,,,,,,,,,
喇舌/拿去,大嘴巴,,,,,,,,,,,,,,,
58度寂寞,符琼音,,,,,,,,,,,,,,,
以前，以后,A-Lin,,,,,,,,,,,,,,,
无尽透明思念(新歌),庾澄庆,,,,,,,,,,,,,,,
不爱。请闪开,萧亚轩,,,,,,,,,,,,,,,
爱＊极限,许慧欣,,,,,,,,,,,,,,,
Don’t Go Away(国语),BY2,,,,,,,,,,,,,,,
我知道(电视剧《比赛开始》片尾曲 / LG冰淇淋手机代言曲),BY2,,,,,,,,,,,,,,,
Tikiville(中文版),王若琳,,,,,,,,,,,,,,,
你不必爱我,方炯镔,,,,,,,,,,,,,,,
眼镜宝贝,南拳妈妈,,,,,,,,,,,,,,,
回去吧,方炯镔,,,,,,,,,,,,,,,
第七封信/情书,范逸臣,,,,,,,,,,,,,,,
秘密基地(黑糖群侠传插曲),黑糖群侠传,,,,,,,,,,,,,,,
无乐不作((电影《海角七号》主题曲)),范逸臣,,,,,,,,,,,,,,,
Missing?You,范逸臣,,,,,,,,,,,,,,,
好好爱^0^ (心动时刻版),BY2,,,,,,,,,,,,,,,
冒险世界,公主帮,,,,,,,,,,,,,,,
冒险世界,宅男塾,,,,,,,,,,,,,,,
宝宝！睡,袁泉,,,,,,,,,,,,,,,
然后怎样 + Hidden message,陈奕迅,,,,,,,,,,,,,,,
魔力High Q时尚夏日重拍版((华歌尔广告主题曲「加油!金顺」片尾曲)),温岚,,,,,,,,,,,,,,,
I&#39;ll be there,萧亚轩,,,,,,,,,,,,,,,
比较美好的世界,S.H.E,,,,,,,,,,,,,,,
It&#39;s My Day,薛凯琪,,,,,,,,,,,,,,,
周大侠(电影《功夫灌篮(又称：大灌篮)》主题曲),周杰伦,,,,,,,,,,,,,,,
Let&#39;s Move It(live版),蔡依林,,,,,,,,,,,,,,,
早知道．爱,卢学睿,,,,,,,,,,,,,,,
嘉油站,廖隽嘉,,,,,,,,,,,,,,,
Sky&#39;s The Limit(《无法放任不管的魔女们》主题曲&amp;#124;東海テレビ,V6,,,,,,,,,,,,,,,
NoNoNo(Japanese Ver.),A Pink,,,,,,,,,,,,,,,
何度目の青空か?,乃木坂46,,,,,,,,,,,,,,,
エレクトリックパレード,Dog in the PWO,,,,,,,,,,,,,,,
She is WANNABE!,GALETTe*,,,,,,,,,,,,,,,
控えめI love you !(小心翼翼我爱你!),HKT48,,,,,,,,,,,,,,,
ideal white(TV动画『Fate/stay night』片头曲),綾野ましろ,,,,,,,,,,,,,,,
神様のイジ悪,CANDY GO！GO！,,,,,,,,,,,,,,,
百花繚乱,GLAY,,,,,,,,,,,,,,,
ジパング?おおきに大作戦,ジャニーズWEST,,,,,,,,,,,,,,,
MOMO&#39;S BEAT,铃村健一,,,,,,,,,,,,,,,
楽園の翼(TVアニメ『グリザイアの果実』OPテーマ),黑崎真音,,,,,,,,,,,,,,,
"world&#39;s end, girl&#39;s rondo",分岛花音,,,,,,,,,,,,,,,
男 never give up,Sexy Zone,,,,,,,,,,,,,,,
包帯男,R指定,,,,,,,,,,,,,,,
VAMPIRE’S LOVE,VAMPS,,,,,,,,,,,,,,,
ちょいときまぐれ渡り鳥(セリフ入り),氷川きよし,,,,,,,,,,,,,,,
Shangri-La Shower,μ&#39;s,,,,,,,,,,,,,,,
思い出せない花,フレンチ?キス,,,,,,,,,,,,,,,
愛の陽,高垣彩阳,,,,,,,,,,,,,,,
ゆめいろ学院校歌(文化放送 超! A&amp;G+ 「木戸衣吹エリイちゃんの ゆめいろ学院Doki☆,every?ing!,,,,,,,,,,,,,,,
抱きよせてTONIGHT,フェロ☆メン,,,,,,,,,,,,,,,
暁月夜 -DAY BREAKERS-,GACKT,,,,,,,,,,,,,,,
刹那ハレーション,Luce Twinkle Wink☆,,,,,,,,,,,,,,,
革命への前奏曲(OVA《新网球王子vs Genius10》主题曲&amp;#124;OVA 新テニス,诹访部顺一,,,,,,,,,,,,,,,
ルナティック?キス,KENN,,,,,,,,,,,,,,,
東京VICTORY(TBS系列「2014 アジア大会&amp;世界バレー」テーマ曲),サザンオールスターズ,,,,,,,,,,,,,,,
BE HERO,風男塾,,,,,,,,,,,,,,,
Jugemu,BugLug,,,,,,,,,,,,,,,
希望の蕾,HR,,,,,,,,,,,,,,,
ハッピーアプリ,X21,,,,,,,,,,,,,,,
モウソウモモウソロソロ,珈琲店,,,,,,,,,,,,,,,
Magic Motion No.5,WHY@DOLL,,,,,,,,,,,,,,,
不可逆リプレイス(动画《信长协奏曲》主题曲&amp;#124;レビアニメ「信長協奏曲」主題歌),MY FIRST STORY,,,,,,,,,,,,,,,
想い出ブレイカー,Lead,,,,,,,,,,,,,,,
瞳に映らない,indigo la End,,,,,,,,,,,,,,,
友情エクスプレス,ALLOVER,,,,,,,,,,,,,,,
ツナガル!カナデル! MUSIC,バンドじゃないもん!,,,,,,,,,,,,,,,
レヴ,ユナイト,,,,,,,,,,,,,,,
Highschool□love(《麻辣教师GTO(2014)》主题曲),E-Girls,,,,,,,,,,,,,,,
証明ティンエイジャー,夢みるアドレセンス,,,,,,,,,,,,,,,
本当の恋(「同窓生 ～人は、三度、恋をする～」の挿入歌),May J.,,,,,,,,,,,,,,,
ビ?ビ?ビ?ビューティー!!!,CLEAR’S,,,,,,,,,,,,,,,
A/Z(TV Verison),泽野弘之,,,,,,,,,,,,,,,
笑顔と笑顔で始まるよ!(笑颜和笑颜开始！),新田恵海,,,,,,,,,,,,,,,
LEO(TV动画《排球少年》ED2 / TVアニメ『ハイキュー!!』第2クールエンディング?テーマ),tacica,,,,,,,,,,,,,,,
心のプラカード(選抜メンバー),AKB48,,,,,,,,,,,,,,,
俺たちのセレブレーション,色情涂鸦,,,,,,,,,,,,,,,
Coming Soooon!!,平川大辅,,,,,,,,,,,,,,,
Phantom Pain,T. M. Revolution,,,,,,,,,,,,,,,
絶唱！なにわで生まれた少女たち,Tacoyaki Rrainbow,,,,,,,,,,,,,,,
Mirror(魔法科高中的劣等生 ED&amp;#124;TVアニメ『魔法科高校の劣等生』エンディン,安田レイ,,,,,,,,,,,,,,,
マリアージュ(PSP(R)専用ソフト『うたの☆プリンスさまっ?All Star After Secr,森久保祥太郎,,,,,,,,,,,,,,,
無敵なハート(名侦探柯南 ED&amp;#124;「名探偵コナン」エンディングテーマ&amp;#12,倉木麻衣,,,,,,,,,,,,,,,
ENAMEL(TV动画《黑执事 Book of Circus》OP&amp;#124;TVアニメ『黒,SID,,,,,,,,,,,,,,,
ハッシュ ハッシュ(Hush Hush),Da-iCE,,,,,,,,,,,,,,,
青春クロニクル,バクステ外神田一丁目,,,,,,,,,,,,,,,
セツナツ、ダイバー,爱乙女☆DOLL,,,,,,,,,,,,,,,
ONLY MY NOTE(M@STER VERSION),偶像大师,,,,,,,,,,,,,,,
