10minutes-韩国歌曲,李孝利
16.不,陈百强
200,乐童音乐家
200%,乐童音乐家
2010世界杯主题曲,wakawaka
2012社会磕,"DJ,洪磊,MC"
2013孤独的人是可耻的,张楚
2013深港最新中文串烧大碟,DJ
2013社会磕,"洪磊,MC"
21Guns,GreenDay
3-指挥战歌,德国战车
"4.Amorecaro,amorebello",RichardClayderman
7Days,CraigDavid
93MillionMiles,JasonMraz
99次我爱他,元若蓝
A.I.N.Y.（爱你）,G.E.M.邓紫棋
A.I.N.Y.（爱你）,G.E.M.邓紫棋
ACityOfSadness,神思者
ADayWithoutRain,Enya
AINY爱你,G.E.M.邓紫棋
ALittleInspiration,JoDeLaRosa
ALoadedSmile,AdamLambert
ANGEL,EXO-M
ANewDayHasCome,CélineDion
APlaceNearby,LeneMarlin
AfterTonight,G.E.M.邓紫棋
Al'envers,Rose
AllAboutU,G.E.M.邓紫棋
AllByMyself,姚贝娜
AllByMyself,CélineDion
AllOverAgain,RonanKeating
AllRise,Blue
AllTooWell,TaylorSwift
AlmostLover,AFineFrenzy
AlwaysComeBackToYourLove,SamanthaMumba
AmIWrong,Nico&Vinz
AmazingGrace,HayleyWestenra
AmazingGrace,林育群
AnAngel,DeclanGalbraith
AngelBell,久石让
Angels(2004-Remaster),RobbieWilliams
AnotherWayToDie,AliciaKeys
AnyManOfMine,ShaniaTwain
AreYouReady,"张惠妹,李琦,塔斯肯,刘雅婷,王拓"
Ariari(阿里阿里),李贞贤
AsIMovedOn,BlueFoundation
AsLongAsYouLoveMe,"JustinBieber,BigSean"
AsLongAsYouLoveMe,JustinBieber
AsLongAsYouLoveMe,JustinBieber
Ascension(Remix),"DopeArcade,MitiS"
BAMBAMBAM嘣嘣嘣,DJ舞曲
"Baby,Don'tCry(人鱼的眼泪)",EXO-M
"Baby,IMNotSureIfThisIsLove",Club8
BabyOneMoreTime,BritneySpears
BabyOneMoreTime,BritneySpears
BackAtOne,BrianMcknight
BadBoy,张惠妹
BadDay,DanielPowter
BalladeNo.2InBMinor第二号叙事曲,Maksim
BambooDance,和平之月
BarbieGirl,Aqua
BeatIt,迈克尔杰克逊
BeautifulDirtyRich,LadyGaga
BeautifulInWhite,ShaneFilan
BeautifulLight,金志文
BeautifulOnes,Suede
BeautifulPeople,"ChrisBrown,BennyBenassi"
BeautifulWorld,Westlife
BeautifulWorld,宇多田光
BeautyAndABeat,JustinBieber
BecauseOfYou,Ne-Yo
BelieveMe,FortMinor
BetterInTime,LeonaLewis
BetterTogether,JackJohnson
Bewhatyouwannabe,Darin
BeyondTheGame,游戏原声
BigBigWorld,Emilia
BigBigWorld,Emilia
BigBigWorld,Emilia
BillyJean,迈克尔杰克逊
BingBing,CrayonPop
Bitchin'Summer,AvrilLavigne
Black&Blue,ChrisGarneau
BlackOrWhite,MichaelJackson
BlackStallion,GeorgeWinston
BleedingLove,萱萱
BleedingLove,LeonaLewis
Blossom/Meadow,GeorgeWinston
BlowingInTheWind,BobDylan
Blowin’InTheWind,BobDylan
BlurredLines,"RobinThicke,Pharrell,T.I."
BohemianRhapsody,Queen
BoomBoomBoom,王绎龙
BornToDie,LanaDelRey
BoulevardOfBrokenDreams,GreenDay
BoysBoysBoys,LadyGaga
BreakDown(Inst),SuperJunior-M
BreathandLife,Audiomachine
BreezeFromTheSea,自然与神思合奏团
BrotherLouie,ModernTalking
