Go,Super Junior-M
go,黄立行
if,魏如萱
ICU,张根硕
O.K,B1A4
Run,武家祥
now,super junior
uuu,潘玮柏
乱,香香
云,明白人组合
亮,小沈阳
伤,张玮
伤,项亚蕻
伤,"项亚蕻,羽泉"
卖,黄征
听,张杰
她,王思远
她,王馨悦
她,马上又
她,"马上又,杨坤"
她,"王思远,周华健"
当,动力火车
悟,刘德华
愿,王菲
我,多亮
我,彭佳慧
找,张婧
搜,陈翔
星,刘惜君
晴,汪苏泷
暖,"伦永亮,林忆莲"
望,李炜
梦,任家萱
梦,周笔畅
梦,尚雯婕
火,林采欣
烧,吉杰
爱,"胡海泉,陈羽凡,苏有朋"
狼,许艺娜
狼,"侯磊,齐秦"
狼,"齐秦,韩红"
狼,"胡海泉,徐林"
猎,周笔畅
画,赵雷
痴,王安迪
红,周华健
缺,黄雅莉
罪,佛跳墙
茧,赵浴辰
藏,陈翔
衬,张敬轩
说,萧敬腾
诺,"李炜,杨洋"
谜,陈坤
超,李宇春
歌曲名,表演者
路,万茜
辞,范冰冰
野,江映蓉
门,曹方
闷,尚雯婕
闹,张玮
飘,孟庭苇
飞,洪辰
飞,吴建飞
飞,明白人组合
Baby,丁丁/黄一
Bond,"HA:TFELT,Beenzino"
Cry.,Mariah Carey
Dope,Lady Gaga
Girl,尚雯婕
Goal,张靓颖
Halo,尚雯婕
Halo,吉克隽逸
Hero,苏丁琦
Home,阿兰
I DO,彭坦
John,梁心颐
Love,Hebe
Love,黄淑惠
Mako,Priscilla Ahn
Mine,2PM
Nina,Ed Sheeran
Ride,Lana Del Rey
Star,15＆
Stay,James
Stay,少女时代-太蒂徐
Taxi,"李珉宇,Eric"
Trap,"Henry,KyuHyun,TAEMIN"
Vida,Ricky Martin
easy,彭坦
hero,苏醒
hero,韩庚
i am,林俊杰
life,胡彦斌
love,徐佳莹
mama,exo-m
oaoa,五月天
11:11,Illionaire Records
20岁,崔天琪
Alien,Britney Spears
Alive,Daft Punk
Angel,张杰
Angel,刘思涵
Angel,Sarah Brightman
Candy,Robbie Williams
Crazy,江映蓉
Do It,"Pitbull,Mayer Hawthorne"
Don't,Ed Sheeran
Drift,RZA
Exile,Hurts
Fated,东方神起
Gypsy,Lady Gaga
Hello,GOT7
Intro,梁晓雪
Intro,Toheart(WooHyun&Key)
KO ME,何洁
Kelly,萧敬腾
Lucky,EXO-M
Mercy,吉克隽逸
OCEAN,"彭坦,春晓"
Robot,CNBLUE
SO SO,JYJ
Sorry,陈妍希
Sorry,吉克隽逸
Story,朴信惠
Sugar,15＆
Truth,HA:TFELT
Uh-ee,Crayon Pop
We Up,BEAST
X-man,韩庚
Young,海龟先生
dante,罗志祥
do it,吴建豪
intro,李炜
play!,大嘴巴
trust,Christina Perri
180度,孙燕姿
201314,何洁
Answer,东方神起
Artpop,Lady Gaga
Crayon,G-Dragon
Fxxk U,"佳仁,Bumkey"
Get Up,阿肆
Gospel,Robbie Williams
Higher,Marvin Priest
Holler,少女时代-太蒂徐
Hunter,Pharrell Williams
I Know,东方神起
I know,Tom Odell
Listen,茜拉
Lonely,戈锐
Lonely,孝琳(Sistar)
Memory,辛晓琪
Moment,李昶旻
Mr.Chu,Apink
Only U,少女时代-太蒂徐
Rumors,Chau Pak Ho
Timber,"Pitbull,Ke$ha"
Yellow,侯磊
doremi,郑秀文
from u,super junior
loveu2,陈伟霆
一刻,苏妙玲
一半,丁当
一对,陆昱霖
一直,郁可唯
一起,范晓萱
七夕,许嵩
七天,卢广仲
不停,王啸坤
不停,"梁晓雪,徐曼"
不哭,王心凌
不想,欧育齐
不朽,华晨宇
不爱,曾一鸣
不痛,樊凡
不良,徐良
不说,谭晶
不败,"吴建豪,2pm俊昊"
不醉,黄渤
不问,何晟铭
丝萝,李宇春
丝路,"陈楚生,阿兰"
两全,张杰
两双,"谢安琪,吉克隽逸"
中枪,王麟
主角,至上励合
习惯,李慧珍
争气,吉克隽逸
云图,韩庚
人偶,卫薇儿
人办,刘德华
什么,李宇春
仙儿,二手玫瑰
伏笔,薛之谦
伙伴,群星
传奇,孙楠
传奇,王菲
伤痕,金池
伤痕,"范玮琪,胡维纳"
低嗨,张靓颖
佛说,何晟铭
你喔,苏打绿
信仰,杨坤
信仰,黄征
信条,后弦
倒叙,黄义达
倔强,Star4
倔强,Hope组合
倔强,"肖懿航,耀乐团"
候鸟,尚雯婕
借过,炎亚纶
值得,张敬轩
倾世,霍建华
偷情,莫文蔚
催眠,央吉玛
傻子,林宥嘉
傻瓜,阿杜
傻笑,周杰伦
兄妹,陈洁仪
兄弟,苏醒
兄弟,阿来
兄弟,旭日阳刚
光明,汪峰
克蒙,王睿
入戏,李宇春
兰夜,董贞
冰封,萧敬腾
冻结,孙子涵
净土,孙楠
几点,陈冠希
凤凰,阿兰
出发,纵贯线
出色,容祖儿
初雪,EXO
刺猬,温岚
前传,林子祥
前度,林董
剑伤,李易峰
剑心,张杰
加油,林俊杰
匆匆,大学生播客
匹夫,黄晓明
医生,许嵩
十年,刘若英
十年,沙宝亮
千山,刘恺威
半梦,
半梦,mic男团
半醒,刘思涵
即客,李代沫
卸妆,曾轶可
厚爱,梁咏琪
原来,信乐团
双双,范玮琪
反光,王栎鑫
反转,平安
可能,李霄云
可遇,杨钰莹
叹服,许嵩
同城,黄雅莉
听海,金池
听海,"肖洒,乔维怡"
听见,梁佳杰
告白,陈翔
味道,侯磊
呼唤,阿兰
哈喽,魏晨
哥哥,常石磊
哭了,周笔畅
哭了,孙伯纶
哭砂,张杰
哭砂,周华健
唇印,薛凯琪
唐人,孙子涵
唐歌,何晟铭
唯一,茜拉
唯舞,安心亚
唱片,王啸坤
喘息,张芸京
囚鸟,温岚
囚鸟,田馥甄
囚鸟,郁可唯
四季,"庞龙,吴碧霞"
回味,樊凡
回味,黄韵玲
回家,李佳薇
回家,许艺娜
回家,郁可唯
回家,旭日阳刚
回应,陈翔
回来,黄绮珊
地心,汪峰
地心,孙伯纶
坑爹,高维那
坦白,RubberBand
城市,张悬
城市,梁晓雪
壮举,张敬轩
声音,"李代沫,费玉清"
外套,刘威煌
多少,蔡健雅
多少,陈奕迅
夜奔,里翌楷
夜车,曾轶可
大地,羽泉
大海,丁克森
大胆,张靓颖
天使,金霖
天台,"周杰伦,柯有伦,徐帆"
天命,"权振东,刘振宇"
天晴,曲泉丞
天机,"阿信,魔幻力量"
天机,阿信/魔幻力量
天空,张杰
天空,宾俊杰
天空,"HAYA乐团,孙伯纶"
天边,韩磊
天音,黄圣依
天黑,柯以敏
太难,金池
奇迹,江映蓉
她们,陈楚生
她说,谢安琪
如初,李宇春
妈妈,尚雯婕
姐姐,贾盛强
嫁妆,安与骑兵
嫁妆,木江子组合
字花,薛凯琪
存在,汪峰
存在,刘明辉
学会,李行亮
宁夏,郁可唯
守约,周蕙
客梦,"周华健,张大春"
家园,薛凯琪
寂寞,谢容儿
密友,周笔畅
对味,安又琪
对手,苏醒
尊严,陈柏宇
小芳,胡彦斌
少年,Hope组合
少来,炎亚纶
尘埃,魏晨
就手,泳儿
尾巴,陈伟霆
屋顶,"陶喆,关诗敏"
屋顶,"范玮琪,李建辉"
山丘,侯磊
山河,韩磊
崇拜,方炯镔
左右,戴爱玲
巷雨,回音哥
年年,蔡卓妍
年轮,黄雅莉
序幕,李宇春
底细,杨宗纬
当你,林俊杰
当时,张信哲
彩虹,平安
彩虹,刘明辉
彼此,何韵诗
征服,萧敬腾
征服,那英/梁博/张玮/多亮/张赫宣
征程,王啸坤
很忙,容祖儿
徒手,张杰
徘徊,樊凡
微光,华晨宇
微微,郭顶
心动,曾一鸣
心墙,林采欣
心情,"陈晓,赵丽颖"
心术,张宇
心经,陈坤
心结,李炆
心跳,杨谨
忘了,何洁
忠诚,张赫宣
快活,曲婉婷
思念,罗大佑
恋爱,光良
恩惠,萨顶顶
恶人,孙子涵
悠哉,杨众国
悬崖,侯磊
悬崖,平安
悲爱,萧敬腾
情人,刘威煌
情人,谢安琪
情圣,孙子涵/常定晨
情圣,孙子涵
情妇,朱贝贝
情敌,张津涤
情歌,侧田
情网,满文军
情话,徐良
惜爱,张敬轩
想念,陈楚生
想逃,罗志祥
感应,纵贯线
感谢,屠洪刚
感谢,张靓颖
慈愿,韩红
慢慢,王乃恩
我们,羽泉
我们,段林希
我们,黑豹乐队
我俩,"藤井美菜,李弘基"
我想,平安
我爱,王子鸣
战放,本兮
战豆,琳琳
房间,刘瑞琦
手语,周杰伦
打呼,"潘玮柏,杨丞琳"
承诺,袁姗姗
拥抱,俞灏明
拥有,林宥嘉
拯救,权振东
挂失,阿杜
指望,徐岑子
指环,陈翔
指纹,胡歌
挚爱,林志颖
接纳,海龟先生
搁浅,张杰
撕心,朴文哲
改变,胡夏
放下,张靓颖
放开,萧敬腾
放肆,五月天
故乡,许巍
故乡,塔斯肯
故乡,旭日阳刚王旭
故乡,帕尔哈提;王卓
旅客,牛奶咖啡
旅途,孙楠
旅途,平安
旅途,刘力扬
无常,吴奇隆
无泪,袁姗姗/韩栋
无泪,袁姗姗    /    韩栋
无缘,范逸臣
无言,"张赫宣,卓义峰"
无言,张赫宣/卓义峰
无限,陈柏宇
时代,古巨基
时差,陈羽凡
时装,尚雯婕
明天,陈志朋
明星,黄安
昙花,方大同
星海,徐海星
星空,五月天
星空,"刘雨欣,刘羽琦,杜沁怡,徐立"
春泥,张芸京
