go,黄立行,,,,,,,,,,,,,,,
ICU,张根硕,,,,,,,,,,,,,,,
伤,张玮,,,,,,,,,,,,,,,
伤,"项亚蕻,羽泉",,,,,,,,,,,,,,,
听,张杰,,,,,,,,,,,,,,,
她,"马上又,杨坤",,,,,,,,,,,,,,,
暖,"伦永亮,林忆莲",,,,,,,,,,,,,,,
梦,任家萱,,,,,,,,,,,,,,,
狼,"齐秦,韩红",,,,,,,,,,,,,,,
狼,"胡海泉,徐林",,,,,,,,,,,,,,,
茧,赵浴辰,,,,,,,,,,,,,,,
歌曲名,表演者,,,,,,,,,,,,,,,
Baby,丁丁/黄一,,,,,,,,,,,,,,,
Bond,"HA:TFELT,Beenzino",,,,,,,,,,,,,,,
Love,Hebe,,,,,,,,,,,,,,,
Mako,Priscilla Ahn,,,,,,,,,,,,,,,
Mine,2PM,,,,,,,,,,,,,,,
Star,15＆,,,,,,,,,,,,,,,
Stay,James,,,,,,,,,,,,,,,
Stay,少女时代-太蒂徐,,,,,,,,,,,,,,,
Taxi,"李珉宇,Eric",,,,,,,,,,,,,,,
Trap,"Henry,KyuHyun,TAEMIN",,,,,,,,,,,,,,,
11:11,Illionaire Records,,,,,,,,,,,,,,,
Do It,"Pitbull,Mayer Hawthorne",,,,,,,,,,,,,,,
Hello,GOT7,,,,,,,,,,,,,,,
Intro,Toheart(WooHyun&Key),,,,,,,,,,,,,,,
OCEAN,"彭坦,春晓",,,,,,,,,,,,,,,
Sugar,15＆,,,,,,,,,,,,,,,
Uh-ee,Crayon Pop,,,,,,,,,,,,,,,
Fxxk U,"佳仁,Bumkey",,,,,,,,,,,,,,,
Holler,少女时代-太蒂徐,,,,,,,,,,,,,,,
Lonely,孝琳(Sistar),,,,,,,,,,,,,,,
Mr.Chu,Apink,,,,,,,,,,,,,,,
Only U,少女时代-太蒂徐,,,,,,,,,,,,,,,
Rumors,Chau Pak Ho,,,,,,,,,,,,,,,
Timber,"Pitbull,Ke$ha",,,,,,,,,,,,,,,
doremi,郑秀文,,,,,,,,,,,,,,,
from u,super junior,,,,,,,,,,,,,,,
loveu2,陈伟霆,,,,,,,,,,,,,,,
不停,"梁晓雪,徐曼",,,,,,,,,,,,,,,
不朽,华晨宇,,,,,,,,,,,,,,,
不败,"吴建豪,2pm俊昊",,,,,,,,,,,,,,,
丝路,"陈楚生,阿兰",,,,,,,,,,,,,,,
两双,"谢安琪,吉克隽逸",,,,,,,,,,,,,,,
争气,吉克隽逸,,,,,,,,,,,,,,,
伤痕,"范玮琪,胡维纳",,,,,,,,,,,,,,,
低嗨,张靓颖,,,,,,,,,,,,,,,
