10minutes,李孝利
2010世界杯主题曲,wakawaka
2012社会磕,"DJ,洪磊,MC"
2013社会磕,"洪磊,MC"
21Guns,GreenDay
指挥战歌,德国战车
"Amorecaro,amorebello",RichardClayderman
7Days,CraigDavid
93MillionMiles,JasonMraz
99次我爱他,元若蓝
ACityOfSadness,神思者
ADayWithoutRain,Enya
AINY爱你,G.E.M.邓紫棋
ALittleInspiration,JoDeLaRosa
ALoadedSmile,AdamLambert
ANewDayHasCome,CélineDion
APlaceNearby,LeneMarlin
AfterTonight,G.E.M.邓紫棋
Al'envers,Rose
AllAboutU,G.E.M.邓紫棋
AllByMyself,姚贝娜
AllByMyself,CélineDion
AllOverAgain,RonanKeating
AllRise,Blue
AllTooWell,TaylorSwift
AlmostLover,AFineFrenzy
AlwaysComeBackToYourLove,SamanthaMumba
AmIWrong,Nico&Vinz
AmazingGrace,HayleyWestenra
AmazingGrace,林育群
AnAngel,DeclanGalbraith
AngelBell,久石让
Angels,RobbieWilliams
AnotherWayToDie,AliciaKeys
AnyManOfMine,ShaniaTwain
AreYouReady,"张惠妹,李琦,塔斯肯,刘雅婷,王拓"
Ariari,李贞贤
AsIMovedOn,BlueFoundation
AsLongAsYouLoveMe,"JustinBieber,BigSean"
AsLongAsYouLoveMe,JustinBieber
BAMBAMBAM嘣嘣嘣,DJ舞曲
"Baby,Don'tCry",EXO-M
"Baby,IMNotSureIfThisIsLove",Club8
BabyOneMoreTime,BritneySpears
BackAtOne,BrianMcknight
BadBoy,张惠妹
BadDay,DanielPowter
BalladeNo.2InBMinor第二号叙事曲,Maksim
BambooDance,和平之月
BarbieGirl,Aqua
BeatIt,迈克尔杰克逊
BeautifulDirtyRich,LadyGaga
BeautifulInWhite,ShaneFilan
BeautifulLight,金志文
BeautifulOnes,Suede
BeautifulPeople,"ChrisBrown,BennyBenassi"
BeautifulWorld,Westlife
BeautifulWorld,宇多田光
BeautyAndABeat,JustinBieber
BecauseOfYou,Ne-Yo
BelieveMe,FortMinor
BetterInTime,LeonaLewis
BetterTogether,JackJohnson
Bewhatyouwannabe,Darin
BeyondTheGame,游戏原声
BigBigWorld,Emilia
BillyJean,迈克尔杰克逊
BingBing,CrayonPop
Bitchin'Summer,AvrilLavigne
Black&Blue,ChrisGarneau
BlackOrWhite,MichaelJackson
BlackStallion,GeorgeWinston
BleedingLove,萱萱
BleedingLove,LeonaLewis
Blossom/Meadow,GeorgeWinston
BlowingInTheWind,BobDylan
Blowin’InTheWind,BobDylan
BlurredLines,"RobinThicke,Pharrell,T.I."
