想你的夜(2012新版),关喆,想你的夜(2012新版),,,,,,,,,,,,,,,
去大理(电影《心花路放》插曲),郝云,心花路放 电影原声带,,,,,,,,,,,,,,,
平凡之路(电影《后会无期》主题曲),朴树,平凡之路(电影《后会无期》主题曲),,,,,,,,,,,,,,,
因为爱情(live版),李佳薇,我为歌狂第二季 第10期,,,,,,,,,,,,,,,
我最亲爱的(live版),苏打绿,Walk Together Live 2012台北小巨蛋演唱会,,,,,,,,,,,,,,,
离人(live版),蔡淳佳,我为歌狂第二季 第10期,,,,,,,,,,,,,,,
他不爱我,张杰,那些和我们打过招呼的爱情,,,,,,,,,,,,,,,
惊鸿一面,许嵩,不如吃茶去,,,,,,,,,,,,,,,
爱这种离谱的感觉,SpeXial,Break It Down,,,,,,,,,,,,,,,
点头,李韦,握着未来的手∞点头,,,,,,,,,,,,,,,
酒干倘卖无(电影《我是孝子》插曲),陈迪雅,酒干倘卖无,,,,,,,,,,,,,,,
山水之间,许嵩,不如吃茶去,,,,,,,,,,,,,,,
G大调的悲伤(live版),张靓颖,Jane Z 2011 Live 我的模样演唱会,,,,,,,,,,,,,,,
不懂自己(电视剧《如果我爱你》插曲),karey天天,天旋地转,,,,,,,,,,,,,,,
陈淑芬与林志豪,王心凌,第10个王心凌,,,,,,,,,,,,,,,
李白,李荣浩,模特,,,,,,,,,,,,,,,
玛卡瑞纳,海龟先生,海龟先生,,,,,,,,,,,,,,,
金玉良缘(电视剧《金玉良缘》插曲),贾青,金玉良缘 电视原声带,,,,,,,,,,,,,,,
Baby Boy,王心凌,第10个王心凌,,,,,,,,,,,,,,,
爱的季节(电影《回到爱开始的地方》片尾曲),魏如萱,回到爱开始的地方 电影原声带,,,,,,,,,,,,,,,
Baby别放手,黑龙,Baby别放手,,,,,,,,,,,,,,,
上瘾,EXO-M,上瘾,,,,,,,,,,,,,,,
奔跑,羽泉,拾伍重唱集,,,,,,,,,,,,,,,
爱的幸运曲奇,SNH48,梅洛斯之路,,,,,,,,,,,,,,,
After Leaving,舒涵,After Leaving,,,,,,,,,,,,,,,
金玉良缘(电视剧《金玉良缘》片尾曲),李琦,金玉良缘 电视原声带,,,,,,,,,,,,,,,
熟悉的陌生人,洪卓立,Timing,,,,,,,,,,,,,,,
炸鸡和啤酒,韩信,守望,,,,,,,,,,,,,,,
Beautiful Light,姚贝娜,Beautiful Light,,,,,,,,,,,,,,,
你给我听好,陈奕迅,rice &amp; shine,,,,,,,,,,,,,,,
热情的沙漠(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,,,,
相思泪,杨姣,花一开就相爱,,,,,,,,,,,,,,,
爱你一万倍(live版),区霭玲,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,,,,
神秘女郎(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,,,,
爱为她,王欢,爱为她,,,,,,,,,,,,,,,
秋水伊人(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,,,,
Black Magic,刘景庄,Black Magic,,,,,,,,,,,,,,,
何日君再来(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,,,,
葬花(live版),区霭玲,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,,,,
假如我是真的(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,,,,
第二春(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,,,,
瑶妹传情,三多 ,瑶妹传情,,,,,,,,,,,,,,,
用什么方法可以忘记你,何宗龙,温习,,,,,,,,,,,,,,,
Beautiful Light,毕夏,Beautiful Light,,,,,,,,,,,,,,,
好不容易(live版),张靓颖,倾听 张靓颖,,,,,,,,,,,,,,,
女人花 (feat. 齐豫)(live版),齐秦,梦想星搭档 第七期,,,,,,,,,,,,,,,
外面的世界 (feat. 齐豫)(live版),齐秦,梦想星搭档 第3期,,,,,,,,,,,,,,,
最炫民族风(live版),凤凰传奇,梦想星搭档 第3期,,,,,,,,,,,,,,,
爱上一个不回家的人 (feat. 常石磊)(live版),萨顶顶,梦想星搭档 第七期,,,,,,,,,,,,,,,
热情的沙漠 (feat. 李泉)(live版),古巨基,梦想星搭档 第1期,,,,,,,,,,,,,,,
鸿雁 (feat. 常石磊)(live版),萨顶顶,梦想星搭档 第1期,,,,,,,,,,,,,,,
我是不是你最疼爱的人 (feat. 潘越云)(live版),郁可唯,梦想星搭档 第五期,,,,,,,,,,,,,,,
王妃 (feat. 杨培安)(live版),萧煌奇,梦想星搭档 第五期,,,,,,,,,,,,,,,
泡沫(live版),G.E.M. 邓紫棋,G.E.M.X.X.X. Live,,,,,,,,,,,,,,,
A.I.N.Y.(live版),G.E.M. 邓紫棋,G.E.M.X.X.X. Live,,,,,,,,,,,,,,,
我的秘密 (Live Piano Session),G.E.M. 邓紫棋,G.E.M.X.X.X. Live,,,,,,,,,,,,,,,
我要我们在一起(live版),G.E.M. 邓紫棋,G.E.M.X.X.X. Live,,,,,,,,,,,,,,,
酒干倘卖无 (feat. 程琳)(live版),阿鲁阿卓,梦想星搭档 第1期,,,,,,,,,,,,,,,
至少还有你 (feat. 阿兰)(live版),蔡妍,梦想星搭档 第3期,,,,,,,,,,,,,,,
精忠报国,春天,春天音乐作品集,,,,,,,,,,,,,,,
桃花源,腾格尔,桃花源,,,,,,,,,,,,,,,
特别的爱给特别的你,麦子杰,我为歌狂 第10期,,,,,,,,,,,,,,,
疼爱(电视剧《隋唐英雄》第三部主题曲),张卫健,隋唐英雄 电视原声带,,,,,,,,,,,,,,,
痣,蔡孟臻,真实的模样,,,,,,,,,,,,,,,
沧海一声笑,黄沾,狮子山下演唱会,,,,,,,,,,,,,,,
牵手,苏芮,华纳 最靓声之选LPCD,,,,,,,,,,,,,,,
点亮智慧人生,杨坤,单曲 - 点亮智慧人生,,,,,,,,,,,,,,,
爱的承诺,孙江枫,爱的承诺,,,,,,,,,,,,,,,
自由飞翔 (feat. 尹熙水)(电影《非常幸运》宣传曲),章子怡,非常幸运 电影原声带,,,,,,,,,,,,,,,
爱你胜过爱我自己 (feat. 阳阳),晟瑶,爱你胜过爱我自己,,,,,,,,,,,,,,,
烟火(live版),陈绮贞,太阳巡回演唱会Immortal Tour影音记录,,,,,,,,,,,,,,,
Beat it(live版),吴克羣,第八期 巨星之夜,,,,,,,,,,,,,,,
从头再来(live版),孙楠,第六期 流行节奏之夜,,,,,,,,,,,,,,,
遇见,孙燕姿,2 her,,,,,,,,,,,,,,,
看我72变(live版),陶喆,第六期 流行节奏之夜,,,,,,,,,,,,,,,
我为你歌唱(电影《饥饿游戏2》中文主题曲),曲婉婷,Say The Words 我为你歌唱,,,,,,,,,,,,,,,
隐形的翅膀 + 有形的翅膀(live版),张韶涵,第五期 民谣之夜,,,,,,,,,,,,,,,
爱我别走(live版),张韶涵,第一期 摇滚之夜,,,,,,,,,,,,,,,
是否 (Live Piano Session),G.E.M. 邓紫棋,是否,,,,,,,,,,,,,,,
我的歌声里(live版),黄小琥,第一期 摇滚之夜,,,,,,,,,,,,,,,
新贵妃醉酒(live版),吴克羣,全能星战 第4期 戏曲之夜,,,,,,,,,,,,,,,
北京一夜(live版),张韶涵,全能星战 第4期 戏曲之夜,,,,,,,,,,,,,,,
康定情歌(live版),黄小琥,第二期 民歌之夜,,,,,,,,,,,,,,,
站在高岗上(live版),张韶涵,第二期 民歌之夜,,,,,,,,,,,,,,,
稳稳的幸福,孙俪,辣妈正传 电视原声带,,,,,,,,,,,,,,,
阳光下的我们,曲婉婷,Say The Words 我为你歌唱,,,,,,,,,,,,,,,
潇洒走一回(live版),胡彦斌,第三期 爵士之夜,,,,,,,,,,,,,,,
我相信(第二季《中国好声音》加油歌),吴莫愁,无所不在,,,,,,,,,,,,,,,
真实,张惠妹,2 her,,,,,,,,,,,,,,,
简单的事,李代沫,敏感者,,,,,,,,,,,,,,,
火辣辣,丁童,恨不起,,,,,,,,,,,,,,,
爱无反顾(电影《我爱的是你爱我》主题曲),姚贝娜,1/2的我,,,,,,,,,,,,,,,
秋意浓(live版),胡彦斌,全能星战 第4期 戏曲之夜,,,,,,,,,,,,,,,
悄悄告诉你(电影《被偷走的那五年》主题曲),范玮琪,悄悄告诉你,,,,,,,,,,,,,,,
青春,筠子,春分 立秋 冬至,,,,,,,,,,,,,,,
结尾串烧(第6场),快乐男声,快乐男声2013 热血复活战,,,,,,,,,,,,,,,
一起摇摆(live版),罗熙杰,中国梦之声高温慰问演出,,,,,,,,,,,,,,,
爸爸去哪儿(《爸爸去哪儿》主题曲),华语群星,爸爸去哪儿 电视原声带,,,,,,,,,,,,,,,
爱的海洋,曲婉婷,Say The Words 我为你歌唱,,,,,,,,,,,,,,,
咆哮,EXO-M,XOXO Repackage Hug Ver. (中文版),,,,,,,,,,,,,,,
越爱越明白 love changes love,尚雯婕,Graceland 恩赐之地,,,,,,,,,,,,,,,
最炫民族风,凤凰传奇,组团十年庆功版,,,,,,,,,,,,,,,
致青春(live版),龚琳娜,第五期 民谣之夜,,,,,,,,,,,,,,,
玫瑰玫瑰我爱你,群星,夸父音乐系列-被遗忘的时光,,,,,,,,,,,,,,,
火火中国风,多元神话,火火中国风,,,,,,,,,,,,,,,
爱不爱我,储毅,那是我们回不去的从前,,,,,,,,,,,,,,,
狮子座(电影《天神传》主题曲),陶辰宇,天神传 电影原声带,,,,,,,,,,,,,,,
在雨中,云飞儿,戒了爱情戒了你,,,,,,,,,,,,,,,
站在高岗上(live版),张惠妹,AMeiZING Live 世界巡回演唱会,,,,,,,,,,,,,,,
秋意浓 (feat. 李泉)(live版),古巨基,梦想星搭档 第2期,,,,,,,,,,,,,,,
眼泪的名字(电视剧《我爱你爱你爱我》插曲),谢安琪,谢 安琪,,,,,,,,,,,,,,,
我没有感觉,张宇,月亮惹的祸,,,,,,,,,,,,,,,
父亲(8进7 live版),白举纲,快乐男声2013 总决赛,,,,,,,,,,,,,,,
爱我的请举手(live版),许明明,中国梦之声 第14期,,,,,,,,,,,,,,,
相见太晚(电视剧《非缘勿扰》片尾曲),苏有朋,非缘勿扰 电视原声带,,,,,,,,,,,,,,,
不分手的恋爱,汪苏泷,汪苏泷 精选集,,,,,,,,,,,,,,,
掌声响起来(live版),邓小坤,中国梦之声 第14期,,,,,,,,,,,,,,,
枯叶蝶(电视剧《花非花雾非雾》片尾曲),许艺娜,想要爱,,,,,,,,,,,,,,,
我们都被忘了(电视剧 《我爱你爱你爱我》片尾曲),谢安琪,谢 安琪,,,,,,,,,,,,,,,
爱我还是伤害我,沈世爱,爱我还是伤害我,,,,,,,,,,,,,,,
23个情人节 (feat. 吴亦帆),邰正宵,歌者1: 男懂女人心,,,,,,,,,,,,,,,
让我们在一起,汪峰,生无所求,,,,,,,,,,,,,,,
爱要大声说出来,樊桐舟,爱要大声说出来,,,,,,,,,,,,,,,
不哭了,BY2,MY.游乐园,,,,,,,,,,,,,,,
我要大声告诉你(live版),李祥祥,中国梦之声 第13期,,,,,,,,,,,,,,,
爱的归宿,李玲玉,下辈子还嫁给你 电视原声带,,,,,,,,,,,,,,,
Boys Girls,Ezen,Boys Girls,,,,,,,,,,,,,,,
好乐Day,王蓉,好乐Day,,,,,,,,,,,,,,,
伤心的人别听慢歌 (贯彻快乐)(2013《诺亚方舟3D》电影主题曲&amp;#124;2013可口可,五月天,伤心的人别听慢歌 (贯彻快乐),,,,,,,,,,,,,,,
好久不见,杨永聪,中国梦之声 第13期,,,,,,,,,,,,,,,
记得(live版),李祥祥,中国梦之声 第14期,,,,,,,,,,,,,,,
雨中的红玫瑰,张睿,花非花雾非雾 电视原声带,,,,,,,,,,,,,,,
爱让你我受尽了苦,张启辉,千万个借口,,,,,,,,,,,,,,,
致青春(电影《致我们终将逝去的青春》主题曲),王菲,致我们终将逝去的青春 电影原声带,,,,,,,,,,,,,,,
让我一次爱个够(live版),妥云福,中国梦之声 第11期,,,,,,,,,,,,,,,
你怎么舍得我难过(live版),阿来,中国梦之声 第12期,,,,,,,,,,,,,,,
痛痛快快醉一回,顾晓宇,顾小雨≠顾晓宇,,,,,,,,,,,,,,,
给我感觉 + 红日 + 人生嘉年华 + TYCA (feat. 麦子杰 &amp; 朱桦)(live,萨顶顶,我为歌狂 总决赛,,,,,,,,,,,,,,,
明天我要嫁给你,郁可唯,我为歌狂 第9期,,,,,,,,,,,,,,,
Hip Hop经过,野乐男孩,Hip Hop经过,,,,,,,,,,,,,,,
眼泪碰石头(电影《武林歌手》插曲),赵洁莹,眼泪碰石头,,,,,,,,,,,,,,,
American Boy(live版),何大为,中国梦之声 第12期,,,,,,,,,,,,,,,
那年那月,韩笑,那年那月,,,,,,,,,,,,,,,
你眼中的我(电视剧《幸福选择题》片尾曲),郭静,致纯静 新歌+精选,,,,,,,,,,,,,,,
Yellow(live版),侯磊,中国梦之声 第12期,,,,,,,,,,,,,,,
你把我灌醉 (Intoxicated),G.E.M. 邓紫棋,你把我灌醉 (Intoxicated),,,,,,,,,,,,,,,
时间煮雨(live版),郁可唯,我为歌狂 总决赛,,,,,,,,,,,,,,,
我在人民广场吃炸鸡(live版),许明明,中国梦之声 第11期,,,,,,,,,,,,,,,
约定(live版),周蕙,我为歌狂 总决赛,,,,,,,,,,,,,,,
我只在乎你,林宥嘉,Jazz Channel,,,,,,,,,,,,,,,
爱情怎么喊停(台版电视剧《原来是美男》插曲),曾沛慈,原来是美男(台湾版) 电视原声带,,,,,,,,,,,,,,,
咔(live版),朱桦,我为歌狂 总决赛,,,,,,,,,,,,,,,
三天三夜,歌浴森,三天三夜,,,,,,,,,,,,,,,
找你妹,李漫荻,唱首什么歌,,,,,,,,,,,,,,,
白天不懂夜的黑,温岚,我为歌狂 第9期,,,,,,,,,,,,,,,
歌剧魅影 (feat. 纪敏佳),伍思凯,我为歌狂 第9期,,,,,,,,,,,,,,,
一夜惊喜 (feat. 范冰冰)(电影《一夜惊喜》主题曲),李治廷,治爱,,,,,,,,,,,,,,,
因为爱情 (feat. 萨顶顶),麦子杰,我为歌狂 第8期,,,,,,,,,,,,,,,
倔强,云朵,倔强,,,,,,,,,,,,,,,
小小时代(电影《小时代》片尾曲),华语群星,小时代 电影原声带,,,,,,,,,,,,,,,
爱很简单,罗中旭,我为歌狂 第10期,,,,,,,,,,,,,,,
患者,李代沫,敏感者,,,,,,,,,,,,,,,
就现在(百事可乐LIVE FOR NOW主题曲，第二季《中国好声音》集结推广曲),吴莫愁,无所不在,,,,,,,,,,,,,,,
青春(live版),韩红,中国梦之声高温慰问演出,,,,,,,,,,,,,,,
爱与罪(电影《咒丝》主题曲),黄绮珊,爱与罪,,,,,,,,,,,,,,,
爱是最美的事情(《台湾舞娘》主题曲),林凡,爱是最美的事情,,,,,,,,,,,,,,,
相见不如怀念(电视剧《小爸爸》插曲),樊凡,小爸爸 电视原声带,,,,,,,,,,,,,,,
电台情歌 + 水晶 + 爱情 + 如果爱 + 我愿意 (feat. 柯以敏 &amp; 郁可唯)(l,阿杜,我为歌狂 第三期,,,,,,,,,,,,,,,
52赫兹,THE VERSE,52赫兹,,,,,,,,,,,,,,,
爱上你的爱,梁佳杰,绿色玫瑰,,,,,,,,,,,,,,,
王妃(live版),黄龄,我为歌狂 第四期,,,,,,,,,,,,,,,
999朵玫瑰 + 我终于失去了你 + 用心良苦 (feat.郁可唯 &amp; 罗中旭),柯以敏,我为歌狂 第5期,,,,,,,,,,,,,,,
约定 (feat. 蔡旻佑)(台版电视剧《原来是美男》主题曲),汪东城,原来是美男(台湾版) 电视原声带,,,,,,,,,,,,,,,
珍惜(电视剧《陆贞传奇》主题曲),李宇春,陆贞传奇 电视原声带,,,,,,,,,,,,,,,
离人,林志炫,林志炫:绝对收藏,,,,,,,,,,,,,,,
王妃(live版),萨顶顶,我为歌狂 第四期,,,,,,,,,,,,,,,
爱／不要爱我,林志炫,ONE take公视音乐万万岁电视演唱会,,,,,,,,,,,,,,,
破吉他,张震岳,我是海雅谷慕,,,,,,,,,,,,,,,
蒙娜丽莎的眼泪,袁娅维,曾经心痛,,,,,,,,,,,,,,,
洁癖 (feat. 五月天),严爵,好的情人,,,,,,,,,,,,,,,
时间的漩涡(电视剧《新恋爱时代》片头曲),任重,新恋爱时代 原声大碟,,,,,,,,,,,,,,,
爱不离,张志林,爱情厨男,,,,,,,,,,,,,,,
致我们终将逝去的青春,徐子崴,致我们终将逝去的青春,,,,,,,,,,,,,,,
等你,A-Lin,华丽的挑战 O.S.T,,,,,,,,,,,,,,,
火塘旁的摩梭,央金兰泽,火塘旁的摩梭,,,,,,,,,,,,,,,
独处的时候(live版),苏打绿,Walk Together Live 2012台北小巨蛋演唱会,,,,,,,,,,,,,,,
爱过、错过(韩剧《钢琴下的秘密》片尾曲、韩剧《就是喜欢你》片头曲、韩剧《女婿们的战争》片尾曲),邓子霆,坏习惯,,,,,,,,,,,,,,,
莲的心事,乌兰托娅,我要去西藏,,,,,,,,,,,,,,,
被雨伤透(live版),苏打绿,Walk Together Live 2012台北小巨蛋演唱会,,,,,,,,,,,,,,,
煽情歌,万江,万江首张个人,,,,,,,,,,,,,,,
CASINO,管罄,Now I Am Here,,,,,,,,,,,,,,,
特别(live版),李泉,我为歌狂 第三期,,,,,,,,,,,,,,,
抱着你,张震岳,我是海雅谷慕,,,,,,,,,,,,,,,
太难(电视剧《宝贝》插曲),金池,宝贝 电视原声带,,,,,,,,,,,,,,,
爱的印记,方薇,爱的印记,,,,,,,,,,,,,,,
哭了(live版),黄龄,我为歌狂 第三期,,,,,,,,,,,,,,,
情歌天下唱,凤凰传奇,开门大吉,,,,,,,,,,,,,,,
叫一声二奶奶(feat. 司徒兰芳),赵小兵,2013年4月网络红歌2,,,,,,,,,,,,,,,
幸福就是,刘若英,亲爱的路人,,,,,,,,,,,,,,,
金箍棒(live版),龚琳娜,2013湖南卫视春晚,,,,,,,,,,,,,,,
囚鸟(live版),温岚,我为歌狂 第2期,,,,,,,,,,,,,,,
纯属意外,戴佩妮,纯属意外,,,,,,,,,,,,,,,
囚鸟(live版),郁可唯,我为歌狂 第2期,,,,,,,,,,,,,,,
爱我(live版),李翊君,我为歌狂 第2期,,,,,,,,,,,,,,,
爱到死心塌地,杜蕾,爱到死心塌地,,,,,,,,,,,,,,,
爱情的歌 (feat. 叶世荣),周启生,爱情的歌,,,,,,,,,,,,,,,
背叛情歌(live版),纪敏佳,我为歌狂 第2期,,,,,,,,,,,,,,,
I Believe I Can,李代沫,敏感者,,,,,,,,,,,,,,,
回到拉萨+春天里+怒放的生命 (feat. 柯以敏 &amp; 阿杜)(live版),郁可唯,我为歌狂 第2期,,,,,,,,,,,,,,,
弯弯的月亮(live版),温岚,我为歌狂 第1期,,,,,,,,,,,,,,,
相濡以沫,陈奂仁,矛盾,,,,,,,,,,,,,,,
执着(live版),李翊君,我为歌狂 第1期,,,,,,,,,,,,,,,
稳稳的幸福(电影《越来越好之村晚》主题曲),陈奕迅,越来越好之村晚 电影原声带,,,,,,,,,,,,,,,
亲爱的路人,刘若英,亲爱的路人,,,,,,,,,,,,,,,
幸福不是情歌(电视剧《两个爸爸》片尾曲),刘若英,亲爱的路人,,,,,,,,,,,,,,,
画情(电影《画皮2》宣传曲),姚贝娜,画皮Ⅱ 电影原声带,,,,,,,,,,,,,,,
哈你歌 (feat. 小S徐熙娣),庾澄庆,关不掉的月光,,,,,,,,,,,,,,,
爱情的味道(电影《柠檬》主题曲),多亮,柠檬 电影原声带,,,,,,,,,,,,,,,
Come back to me,毕书尽,COME BACK TO Bii,,,,,,,,,,,,,,,
爱对了的人,泷泽,爱对了的人,,,,,,,,,,,,,,,
爱爱爱爱(电影《厨子戏子痞子》插曲),吴莫愁,《厨子戏子痞子》 电影原声带,,,,,,,,,,,,,,,
眼泪教我的事,何韵诗,共存｜Coexistence,,,,,,,,,,,,,,,
我们不是说好了吗 (feat. 白百合)(电影《分手合约》主题曲),彭于晏,《分手合约》 电影原声带,,,,,,,,,,,,,,,
小时候(live版),苏打绿,Walk Together Live 2012台北小巨蛋演唱会,,,,,,,,,,,,,,,
燕儿飞 (feat. 王一璠)(电视剧《樱桃红》主题曲),宋小宝,樱桃红 电视原声带,,,,,,,,,,,,,,,
风吹麦浪 (feat. 孙俪),李健,2013央视春晚,,,,,,,,,,,,,,,
修炼爱情,林俊杰,因你而在,,,,,,,,,,,,,,,
春暖花开,那英,2013央视春晚,,,,,,,,,,,,,,,
我是不是你最疼爱的人(live版),李代沫,跨年演唱会2012-2013 华语篇3,,,,,,,,,,,,,,,
白狐(TV Verison),龚玥菲,2013年4月网络红歌2,,,,,,,,,,,,,,,
法海你不懂爱(TV Verison),龚玥菲,2013年4月网络红歌2,,,,,,,,,,,,,,,
爱的神话,谭晶,看见,,,,,,,,,,,,,,,
