爱我别走(live版),李琪,中国好声音第三季 第3期,,,,,,,,,,,,
时间煮雨(电影《小时代3：刺金时代》片尾曲),吴亦凡,小时代3 电影原声带,,,,,,,,,,,,
洋葱,TF家族,安静,,,,,,,,,,,,
爱疯了(live版),梁栋江,中国好声音第三季 第6期+复活赛,,,,,,,,,,,,
落叶归根(live版),胡慧仪,中国好声音第三季 第4期,,,,,,,,,,,,
火(live版),秦晓林,中国好声音第三季 第2期,,,,,,,,,,,,
燃烧(live版),李光,2014最美和声 第10期,,,,,,,,,,,,
彩虹天堂(live版),魏然,中国好声音第三季 第6期+复活赛,,,,,,,,,,,,
盛夏光年(live版),陈冰,中国好声音第三季 第3期,,,,,,,,,,,,
荷塘月色,张黎玲,在线热搜（华语）系列86,,,,,,,,,,,,
爱我别走,岳定辉,2014最美和声 第9期,,,,,,,,,,,,
无地自容(live版),黑豹乐队,我为歌狂第二季 第8期,,,,,,,,,,,,
美丽世界的孤儿(live版),耿斯汉,中国好声音第三季 第3期,,,,,,,,,,,,
爱的箴言(live版),凌菱,2014最美和声 第8期,,,,,,,,,,,,
他不爱我(live版),包函朵,2014最美和声 第7期,,,,,,,,,,,,
爱我就跟我走,姚天成,爱我就跟我走,,,,,,,,,,,,
Autumn Leaves + 你怎么舍得我难过(live版),包函朵,2014最美和声 第8期,,,,,,,,,,,,
Beats Myself And I(remix版),顽童MJ116,Fresh Game,,,,,,,,,,,,
漂洋过海来看你(live版),李美熹,2014最美和声 第2期,,,,,,,,,,,,
美丽的神话(live版),王逸洁,2014最美和声 第5期,,,,,,,,,,,,
枉凝眉(20140228天天把歌唱live版),康慷,在线热搜（华语）系列86,,,,,,,,,,,,
味道(live版),李光,2014最美和声 第2期,,,,,,,,,,,,
爵士日与夜,Project Ace,节拍崛起,,,,,,,,,,,,
离骚(live版),于文华,在线热搜（华语）系列86,,,,,,,,,,,,
不再见(电影《小时代3：刺金时代》插曲),陈学冬,小时代3 电影原声带,,,,,,,,,,,,
酒干倘卖无(电影《我是孝子》插曲),陈迪雅,酒干倘卖无,,,,,,,,,,,,
海阔天空(live版),谷微,2014最美和声 第2期,,,,,,,,,,,,
回到拉萨(live版),杨创,2014最美和声 第5期,,,,,,,,,,,,
不懂自己(电视剧《如果我爱你》插曲),karey天天,天旋地转,,,,,,,,,,,,
味道(live版),韩磊,我是歌手 双年巅峰会,,,,,,,,,,,,
随它吧,胡维纳,Let It Go The Complete Set,,,,,,,,,,,,
你不知道的事(live版),张馨月,2014最美和声 第3期,,,,,,,,,,,,
空白格(live版),许一鸣,2014最美和声 第2期,,,,,,,,,,,,
最炫民族风(TV Verison),A-Prince,在线热搜（华语）系列85,,,,,,,,,,,,
独上西楼 + I&#39;m With You(live版),杨腾飞,2014最美和声 第6期,,,,,,,,,,,,
80后,车静子,其实我很在乎你,,,,,,,,,,,,
寂寞寂寞就好,VOX玩声乐团,在线热搜（华语）系列84,,,,,,,,,,,,
爱的幸运曲奇,SNH48,梅洛斯之路,,,,,,,,,,,,
After Leaving,舒涵,After Leaving,,,,,,,,,,,,
囚鸟,G.E.M. 邓紫棋,在线热搜（华语）系列63,,,,,,,,,,,,
爱的供养(电视剧《宫锁连城》插曲),陆毅,宫锁连城 电视原声带,,,,,,,,,,,,
外婆的澎湖湾(live版),麒麟Baby,2014年央视元宵晚会,,,,,,,,,,,,
We Will Rock You + 一无所有 + We Are The Champions(liv,G.E.M. 邓紫棋,我是歌手第二季 总决赛,,,,,,,,,,,,
Susan说(live版),王奕丁,2014最美和声 第1期,,,,,,,,,,,,
Apple,玛啡因,起跑 · 河岸留言You Rock－独立音乐未来模型2013音乐合辑3,,,,,,,,,,,,
呼吸(Breath [Chinese Ver.]&amp;#124;??? [中文版]&amp;#1,金钟大,S.M. THE BALLAD Vol. 2 - Breath (Chinese Version),,,,,,,,,,,,
走四方 + 向天再借五百年(live版),韩磊,我是歌手第二季 总决赛,,,,,,,,,,,,
你不是真正的快乐(live版),G.E.M. 邓紫棋,我是歌手第二季 半决赛,,,,,,,,,,,,
花房姑娘(live版),韩磊,我是歌手第二季 第9期,,,,,,,,,,,,
热情的沙漠(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,
求佛,誓言,我的誓言,,,,,,,,,,,,
相思泪,杨姣,花一开就相爱,,,,,,,,,,,,
爱你一万倍(live版),区霭玲,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,
神秘女郎(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,
爱为她,王欢,爱为她,,,,,,,,,,,,
秋水伊人(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,
何日君再来(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,
葬花(live版),区霭玲,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,
假如我是真的(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,
让青春激扬,郑璐,红土情,,,,,,,,,,,,
第二春(live版),莫旭秋,莫旭秋 秋水伊人演唱会,,,,,,,,,,,,
龙卷风(live版),G.E.M. 邓紫棋,我是歌手第二季 第9期,,,,,,,,,,,,
北京北京(live版),韩磊,我是歌手第二季 第10期,,,,,,,,,,,,
明天我要嫁给你(live版),黑豹乐队,不朽之名曲 第3期,,,,,,,,,,,,
瑶妹传情,三多 ,瑶妹传情,,,,,,,,,,,,
我愿意,杨永聪,Stay,,,,,,,,,,,,
如果没有你(live版),G.E.M. 邓紫棋,我是歌手第二季 第7期,,,,,,,,,,,,
爱的箴言(live版),韩磊,我是歌手第二季 第7期,,,,,,,,,,,,
天边(live版),韩磊,我是歌手第二季 第6期,,,,,,,,,,,,
泡沫(live版),G.E.M. 邓紫棋,G.E.M.X.X.X. Live,,,,,,,,,,,,
A.I.N.Y.(live版),G.E.M. 邓紫棋,G.E.M.X.X.X. Live,,,,,,,,,,,,
我的秘密 (Live Piano Session),G.E.M. 邓紫棋,G.E.M.X.X.X. Live,,,,,,,,,,,,
我要我们在一起(live版),G.E.M. 邓紫棋,G.E.M.X.X.X. Live,,,,,,,,,,,,
灰鸟 [新编版](live版),灰子,中国好歌曲 第9期,,,,,,,,,,,,
明天不上班(live版),谢帝,中国好歌曲 第2期,,,,,,,,,,,,
再见吧 喵小姐(live版),王晓天,中国好歌曲 第6期,,,,,,,,,,,,
她 [新编版](live版),王思远,中国好歌曲 第8期,,,,,,,,,,,,
一个歌手的情书(live版),周三,中国好歌曲 第1期,,,,,,,,,,,,
她 [新编版](live版),马上又,中国好歌曲 第9期,,,,,,,,,,,,
伤 [新编版](live版),项亚蕻,中国好歌曲 第8期,,,,,,,,,,,,
精忠报国,春天,春天音乐作品集,,,,,,,,,,,,
千年等一回 [越剧](live版),叶童,国色天香 第1期,,,,,,,,,,,,
离歌 [京剧](live版),李玲玉,国色天香 第1期,,,,,,,,,,,,
至少还有你 [京剧](live版),张远,国色天香 第1期,,,,,,,,,,,,
听海 (feat. 乔维怡)(live版),肖洒,最美和声第一季 第7期,,,,,,,,,,,,
存在(live版),G.E.M. 邓紫棋,我是歌手第二季 第2期,,,,,,,,,,,,
等待(live版),韩磊,我是歌手第二季 第1期,,,,,,,,,,,,
她妈妈不喜欢我 [新编版](live版),王矜霖,中国好歌曲 第7期,,,,,,,,,,,,
第十一年(live版),刘金,中国好歌曲 第2期,,,,,,,,,,,,
当我想你的时候 (feat. 倪鹏)(live版),单冲峰,中国好声音第二季 第7期,,,,,,,,,,,,
就是因为爱,伍佰 &amp; China Blue,无尽闪亮的哀愁,,,,,,,,,,,,
青春是(电影《大稻埕》主题曲),Selina,大稻埕 电影原声带,,,,,,,,,,,,
沧海一声笑,黄沾,狮子山下演唱会,,,,,,,,,,,,
是否 (Live Piano Session),G.E.M. 邓紫棋,是否,,,,,,,,,,,,
追梦赤子心,Gala,追梦痴子心,,,,,,,,,,,,
爱你在心口难开 (feat. 米可)(live版),王矜霖,最美和声第一季 第11期,,,,,,,,,,,,
结尾串烧(第6场),快乐男声,快乐男声2013 热血复活战,,,,,,,,,,,,
一起摇摆(live版),罗熙杰,中国梦之声高温慰问演出,,,,,,,,,,,,
狮子座(电影《天神传》主题曲),陶辰宇,天神传 电影原声带,,,,,,,,,,,,
父亲(8进7 live版),白举纲,快乐男声2013 总决赛,,,,,,,,,,,,
谁的眼泪在飞(live版),金润吉,中国好声音第二季 第10期,,,,,,,,,,,,
眼色(live版),梁君诺,中国好声音第二季 第10期,,,,,,,,,,,,
煎熬,赵晗,中国好声音第二季 第4期,,,,,,,,,,,,
悬崖 (feat. 崔兰花)(live版),萱萱,中国好声音第二季 第6期,,,,,,,,,,,,
爱我的请举手(live版),许明明,中国梦之声 第14期,,,,,,,,,,,,
掌声响起来(live版),邓小坤,中国梦之声 第14期,,,,,,,,,,,,
爱爱爱爱(live版),王洪迪,中国好声音第二季 第5期,,,,,,,,,,,,
三百六十五里路,塔斯肯,中国好声音第二季 第4期,,,,,,,,,,,,
眼泪,余俊逸,中国好声音第二季 第4期,,,,,,,,,,,,
证据,刘籽辰,中国好声音第二季 第4期,,,,,,,,,,,,
我要大声告诉你(live版),李祥祥,中国梦之声 第13期,,,,,,,,,,,,
浮夸(live版),梁君诺,中国好声音第二季 第5期,,,,,,,,,,,,
